,empo_1,empo_2,empo_3
training_9454,Free-living,Non-saline,Soil (non-saline)
training_9455,Free-living,Non-saline,Water (non-saline)
training_9456,Free-living,Non-saline,Soil (non-saline)
training_9457,Host-associated,Animal,Animal surface
training_9458,Host-associated,Animal,Animal distal gut
training_9459,Host-associated,Animal,Animal distal gut
training_9460,Host-associated,Animal,Animal surface
training_9461,Free-living,Non-saline,Water (non-saline)
training_9462,Host-associated,Animal,Animal proximal gut
training_9463,Host-associated,Animal,Animal distal gut
training_9464,Host-associated,Animal,Animal distal gut
training_9465,Host-associated,Plant,Plant surface
training_9466,Free-living,Non-saline,Surface (non-saline)
training_9467,Host-associated,Animal,Animal distal gut
training_9468,Host-associated,Animal,Animal distal gut
training_9469,Free-living,Non-saline,Water (non-saline)
training_9470,Host-associated,Animal,Animal surface
training_9471,Host-associated,Animal,Animal surface
training_9472,Host-associated,Plant,Plant rhizosphere
training_9473,Free-living,Non-saline,Water (non-saline)
training_9474,Host-associated,Animal,Animal secretion
training_9475,Host-associated,Animal,Animal surface
training_9476,Host-associated,Plant,Plant corpus
training_9477,Free-living,Non-saline,Soil (non-saline)
training_9478,Free-living,Non-saline,Water (non-saline)
training_9479,Host-associated,Animal,Animal distal gut
training_9480,Free-living,Non-saline,Soil (non-saline)
training_9481,Free-living,Non-saline,Soil (non-saline)
training_9482,Host-associated,Plant,Plant surface
training_9483,Free-living,Non-saline,Aerosol (non-saline)
training_9484,Free-living,Non-saline,Soil (non-saline)
training_9485,Host-associated,Animal,Animal surface
training_9486,Host-associated,Animal,Animal distal gut
training_9487,Free-living,Saline,Sediment (saline)
training_9488,Host-associated,Animal,Animal secretion
training_9489,Host-associated,Plant,Plant rhizosphere
training_9490,Free-living,Saline,Sediment (saline)
training_9491,Host-associated,Animal,Animal surface
training_9492,Free-living,Saline,Sediment (saline)
training_9493,Free-living,Non-saline,Water (non-saline)
training_9494,Free-living,Non-saline,Water (non-saline)
training_9495,Free-living,Non-saline,Soil (non-saline)
training_9496,Free-living,Non-saline,Soil (non-saline)
training_9497,Free-living,Non-saline,Soil (non-saline)
training_9498,Free-living,Non-saline,Soil (non-saline)
training_9499,Host-associated,Plant,Plant surface
training_9500,Host-associated,Animal,Animal surface
training_9501,Free-living,Non-saline,Water (non-saline)
training_9502,Host-associated,Animal,Animal distal gut
training_9503,Free-living,Saline,Sediment (saline)
training_9504,Free-living,Non-saline,Soil (non-saline)
training_9505,Free-living,Non-saline,Water (non-saline)
training_9506,Free-living,Non-saline,Water (non-saline)
training_9507,Free-living,Saline,Water (saline)
training_9508,Host-associated,Animal,Animal surface
training_9509,Free-living,Non-saline,Water (non-saline)
training_9510,Free-living,Non-saline,Soil (non-saline)
training_9511,Free-living,Non-saline,Water (non-saline)
training_9512,Free-living,Non-saline,Water (non-saline)
training_9513,Host-associated,Animal,Animal surface
training_9514,Free-living,Non-saline,Water (non-saline)
training_9515,Host-associated,Animal,Animal surface
training_9516,Free-living,Non-saline,Water (non-saline)
training_9517,Host-associated,Animal,Animal surface
training_9518,Free-living,Non-saline,Water (non-saline)
training_9519,Host-associated,Plant,Plant rhizosphere
training_9520,Free-living,Non-saline,Soil (non-saline)
training_9521,Free-living,Non-saline,Soil (non-saline)
training_9522,Free-living,Saline,Sediment (saline)
training_9523,Free-living,Non-saline,Water (non-saline)
training_9524,Free-living,Non-saline,Water (non-saline)
training_9525,Free-living,Non-saline,Sediment (non-saline)
training_9526,Host-associated,Plant,Plant surface
training_9527,Host-associated,Plant,Plant rhizosphere
training_9528,Host-associated,Animal,Animal corpus
training_9529,Free-living,Non-saline,Soil (non-saline)
training_9530,Host-associated,Animal,Animal distal gut
training_9531,Host-associated,Animal,Animal surface
training_9532,Free-living,Non-saline,Water (non-saline)
training_9533,Host-associated,Animal,Animal distal gut
training_9534,Host-associated,Animal,Animal distal gut
training_9535,Free-living,Non-saline,Surface (non-saline)
training_9536,Free-living,Non-saline,Sediment (non-saline)
training_9537,Free-living,Non-saline,Water (non-saline)
training_9538,Host-associated,Animal,Animal distal gut
training_9539,Free-living,Non-saline,Water (non-saline)
training_9540,Host-associated,Animal,Animal distal gut
training_9541,Host-associated,Animal,Animal surface
training_9542,Free-living,Non-saline,Water (non-saline)
training_9543,Host-associated,Animal,Animal surface
training_9544,Host-associated,Animal,Animal distal gut
training_9545,Host-associated,Plant,Plant surface
training_9546,Host-associated,Animal,Animal distal gut
training_9547,Free-living,Non-saline,Soil (non-saline)
training_9548,Free-living,Non-saline,Soil (non-saline)
training_9549,Free-living,Saline,Sediment (saline)
training_9550,Free-living,Non-saline,Water (non-saline)
training_9551,Free-living,Non-saline,Soil (non-saline)
training_9552,Host-associated,Animal,Animal distal gut
training_9553,Free-living,Non-saline,Soil (non-saline)
training_9554,Free-living,Non-saline,Sediment (non-saline)
training_9555,Host-associated,Animal,Animal distal gut
training_9556,Free-living,Non-saline,Soil (non-saline)
training_9557,Host-associated,Animal,Animal distal gut
training_9558,Free-living,Saline,Water (saline)
training_9559,Host-associated,Plant,Plant surface
training_9560,Free-living,Non-saline,Water (non-saline)
training_9561,Host-associated,Animal,Animal distal gut
training_9562,Free-living,Non-saline,Soil (non-saline)
training_9563,Free-living,Non-saline,Water (non-saline)
training_9564,Free-living,Non-saline,Water (non-saline)
training_9565,Free-living,Saline,Sediment (saline)
training_9566,Free-living,Non-saline,Water (non-saline)
training_9567,Free-living,Non-saline,Surface (non-saline)
training_9568,Host-associated,Animal,Animal distal gut
training_9569,Free-living,Non-saline,Water (non-saline)
training_9570,Free-living,Non-saline,Water (non-saline)
training_9571,Free-living,Non-saline,Surface (non-saline)
training_9572,Host-associated,Animal,Animal distal gut
training_9573,Host-associated,Animal,Animal distal gut
training_9574,Host-associated,Animal,Animal distal gut
training_9575,Free-living,Non-saline,Surface (non-saline)
training_9576,Free-living,Non-saline,Soil (non-saline)
training_9577,Host-associated,Animal,Animal corpus
training_9578,Host-associated,Animal,Animal surface
training_9579,Free-living,Non-saline,Soil (non-saline)
training_9580,Host-associated,Animal,Animal secretion
training_9581,Free-living,Non-saline,Soil (non-saline)
training_9582,Host-associated,Animal,Animal distal gut
training_9583,Free-living,Non-saline,Water (non-saline)
training_9584,Host-associated,Animal,Animal proximal gut
training_9585,Host-associated,Animal,Animal distal gut
training_9586,Host-associated,Animal,Animal proximal gut
training_9587,Host-associated,Animal,Animal surface
training_9588,Free-living,Non-saline,Soil (non-saline)
training_9589,Host-associated,Plant,Plant surface
training_9590,Host-associated,Animal,Animal surface
training_9591,Free-living,Non-saline,Water (non-saline)
training_9592,Host-associated,Animal,Animal surface
training_9593,Free-living,Non-saline,Water (non-saline)
training_9594,Free-living,Non-saline,Water (non-saline)
training_9595,Host-associated,Animal,Animal surface
training_9596,Host-associated,Animal,Animal proximal gut
training_9597,Host-associated,Animal,Animal surface
training_9598,Host-associated,Animal,Animal surface
training_9599,Host-associated,Animal,Animal distal gut
training_9600,Host-associated,Animal,Animal distal gut
training_9601,Host-associated,Plant,Plant surface
training_9602,Free-living,Non-saline,Soil (non-saline)
training_9603,Free-living,Non-saline,Water (non-saline)
training_9604,Free-living,Non-saline,Soil (non-saline)
training_9605,Host-associated,Animal,Animal surface
training_9606,Host-associated,Plant,Plant surface
training_9607,Free-living,Non-saline,Water (non-saline)
training_9608,Host-associated,Animal,Animal surface
training_9609,Host-associated,Animal,Animal distal gut
training_9610,Host-associated,Animal,Animal distal gut
training_9611,Free-living,Non-saline,Surface (non-saline)
training_9612,Free-living,Non-saline,Water (non-saline)
training_9613,Host-associated,Plant,Plant surface
training_9614,Host-associated,Animal,Animal distal gut
training_9615,Host-associated,Animal,Animal corpus
training_9616,Host-associated,Animal,Animal surface
training_9617,Free-living,Non-saline,Water (non-saline)
training_9618,Free-living,Non-saline,Water (non-saline)
training_9619,Free-living,Non-saline,Soil (non-saline)
training_9620,Host-associated,Animal,Animal surface
training_9621,Host-associated,Plant,Plant rhizosphere
training_9622,Host-associated,Animal,Animal surface
training_9623,Host-associated,Animal,Animal secretion
training_9624,Host-associated,Animal,Animal surface
training_9625,Free-living,Non-saline,Water (non-saline)
training_9626,Host-associated,Plant,Plant surface
training_9627,Free-living,Non-saline,Soil (non-saline)
training_9628,Host-associated,Animal,Animal distal gut
training_9629,Host-associated,Animal,Animal distal gut
training_9630,Free-living,Non-saline,Soil (non-saline)
training_9631,Free-living,Non-saline,Water (non-saline)
training_9632,Host-associated,Animal,Animal distal gut
training_9633,Free-living,Non-saline,Soil (non-saline)
training_9634,Host-associated,Animal,Animal surface
training_9635,Host-associated,Plant,Plant surface
training_9636,Host-associated,Plant,Plant surface
training_9637,Free-living,Saline,Water (saline)
training_9638,Host-associated,Plant,Plant surface
training_9639,Host-associated,Animal,Animal secretion
training_9640,Free-living,Non-saline,Soil (non-saline)
training_9641,Free-living,Non-saline,Soil (non-saline)
training_9642,Host-associated,Animal,Animal surface
training_9643,Free-living,Non-saline,Water (non-saline)
training_9644,Host-associated,Animal,Animal distal gut
training_9645,Host-associated,Animal,Animal distal gut
training_9646,Host-associated,Animal,Animal distal gut
training_9647,Host-associated,Animal,Animal distal gut
training_9648,Host-associated,Animal,Animal distal gut
training_9649,Free-living,Saline,Sediment (saline)
training_9650,Free-living,Saline,Water (saline)
training_9651,Host-associated,Animal,Animal distal gut
training_9652,Host-associated,Plant,Plant surface
training_9653,Free-living,Non-saline,Soil (non-saline)
training_9654,Host-associated,Animal,Animal distal gut
training_9655,Host-associated,Animal,Animal surface
training_9656,Free-living,Non-saline,Water (non-saline)
training_9657,Free-living,Non-saline,Water (non-saline)
training_9658,Host-associated,Animal,Animal distal gut
training_9659,Host-associated,Plant,Plant surface
training_9660,Host-associated,Animal,Animal distal gut
training_9661,Host-associated,Animal,Animal distal gut
training_9662,Free-living,Non-saline,Soil (non-saline)
training_9663,Free-living,Non-saline,Soil (non-saline)
training_9664,Free-living,Non-saline,Soil (non-saline)
training_9665,Free-living,Non-saline,Water (non-saline)
training_9666,Free-living,Non-saline,Soil (non-saline)
training_9667,Host-associated,Animal,Animal distal gut
training_9668,Host-associated,Animal,Animal surface
training_9669,Host-associated,Animal,Animal proximal gut
training_9670,Host-associated,Plant,Plant rhizosphere
training_9671,Free-living,Non-saline,Soil (non-saline)
training_9672,Host-associated,Animal,Animal surface
training_9673,Host-associated,Plant,Plant surface
training_9674,Host-associated,Animal,Animal distal gut
training_9675,Free-living,Non-saline,Soil (non-saline)
training_9676,Host-associated,Animal,Animal surface
training_9677,Host-associated,Animal,Animal secretion
training_9678,Host-associated,Plant,Plant corpus
training_9679,Host-associated,Animal,Animal proximal gut
training_9680,Free-living,Non-saline,Soil (non-saline)
training_9681,Free-living,Non-saline,Water (non-saline)
training_9682,Host-associated,Animal,Animal surface
training_9683,Host-associated,Animal,Animal corpus
training_9684,Host-associated,Plant,Plant rhizosphere
training_9685,Host-associated,Plant,Plant corpus
training_9686,Host-associated,Animal,Animal distal gut
training_9687,Host-associated,Plant,Plant surface
training_9688,Host-associated,Animal,Animal proximal gut
training_9689,Host-associated,Animal,Animal distal gut
training_9690,Free-living,Non-saline,Water (non-saline)
training_9691,Host-associated,Animal,Animal distal gut
training_9692,Free-living,Non-saline,Sediment (non-saline)
training_9693,Free-living,Non-saline,Soil (non-saline)
training_9694,Free-living,Saline,Sediment (saline)
training_9695,Host-associated,Animal,Animal distal gut
